0.00.167.587 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.245.567 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B-ThinkingCap/ThinkingCap-Qwen3.6-27B-Q8_0-MTP.gguf'
0.46.294.074 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.46.340.530 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.46.340.600 I srv  llama_server: model loaded
0.46.340.608 I srv  llama_server: listening on http://127.0.0.1:8090
0.50.182.040 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.57.617.618 I slot print_timing: id  0 | task 3 | n_decoded =    668, tg =   5.39 t/s, tg_3s =   5.25 t/s
2.57.618.465 I slot print_timing: id  1 | task 0 | n_decoded =    668, tg =   5.39 t/s, tg_3s =   5.25 t/s
2.57.619.310 I slot print_timing: id  2 | task 1 | n_decoded =    668, tg =   5.39 t/s, tg_3s =   5.25 t/s
2.57.620.136 I slot print_timing: id  3 | task 2 | n_decoded =    668, tg =   5.39 t/s, tg_3s =   5.25 t/s
3.00.667.675 I slot print_timing: id  0 | task 3 | n_decoded =    684, tg =   5.39 t/s, tg_3s =   5.25 t/s
3.00.668.511 I slot print_timing: id  1 | task 0 | n_decoded =    684, tg =   5.39 t/s, tg_3s =   5.25 t/s
3.00.669.340 I slot print_timing: id  2 | task 1 | n_decoded =    684, tg =   5.39 t/s, tg_3s =   5.25 t/s
3.00.670.157 I slot print_timing: id  3 | task 2 | n_decoded =    684, tg =   5.39 t/s, tg_3s =   5.25 t/s
3.03.719.866 I slot print_timing: id  0 | task 3 | n_decoded =    700, tg =   5.38 t/s, tg_3s =   5.24 t/s
3.03.720.727 I slot print_timing: id  1 | task 0 | n_decoded =    700, tg =   5.38 t/s, tg_3s =   5.24 t/s
3.03.721.586 I slot print_timing: id  2 | task 1 | n_decoded =    700, tg =   5.38 t/s, tg_3s =   5.24 t/s
3.03.722.444 I slot print_timing: id  3 | task 2 | n_decoded =    700, tg =   5.38 t/s, tg_3s =   5.24 t/s
3.06.769.578 I slot print_timing: id  0 | task 3 | n_decoded =    716, tg =   5.38 t/s, tg_3s =   5.25 t/s
3.06.770.399 I slot print_timing: id  1 | task 0 | n_decoded =    716, tg =   5.38 t/s, tg_3s =   5.25 t/s
3.06.771.217 I slot print_timing: id  2 | task 1 | n_decoded =    716, tg =   5.38 t/s, tg_3s =   5.25 t/s
3.06.772.039 I slot print_timing: id  3 | task 2 | n_decoded =    716, tg =   5.38 t/s, tg_3s =   5.25 t/s
3.09.819.147 I slot print_timing: id  0 | task 3 | n_decoded =    732, tg =   5.38 t/s, tg_3s =   5.25 t/s
3.09.819.986 I slot print_timing: id  1 | task 0 | n_decoded =    732, tg =   5.38 t/s, tg_3s =   5.25 t/s
3.09.820.826 I slot print_timing: id  2 | task 1 | n_decoded =    732, tg =   5.38 t/s, tg_3s =   5.25 t/s
3.09.821.681 I slot print_timing: id  3 | task 2 | n_decoded =    732, tg =   5.38 t/s, tg_3s =   5.25 t/s
3.12.894.621 I slot print_timing: id  0 | task 3 | n_decoded =    748, tg =   5.37 t/s, tg_3s =   5.20 t/s
3.12.895.448 I slot print_timing: id  1 | task 0 | n_decoded =    748, tg =   5.37 t/s, tg_3s =   5.20 t/s
3.12.896.265 I slot print_timing: id  2 | task 1 | n_decoded =    748, tg =   5.37 t/s, tg_3s =   5.20 t/s
3.12.897.073 I slot print_timing: id  3 | task 2 | n_decoded =    748, tg =   5.37 t/s, tg_3s =   5.20 t/s
3.15.994.987 I slot print_timing: id  0 | task 3 | n_decoded =    764, tg =   5.37 t/s, tg_3s =   5.16 t/s
3.15.995.904 I slot print_timing: id  1 | task 0 | n_decoded =    764, tg =   5.37 t/s, tg_3s =   5.16 t/s
3.15.996.779 I slot print_timing: id  2 | task 1 | n_decoded =    764, tg =   5.37 t/s, tg_3s =   5.16 t/s
3.15.997.645 I slot print_timing: id  3 | task 2 | n_decoded =    764, tg =   5.37 t/s, tg_3s =   5.16 t/s
3.19.095.168 I slot print_timing: id  0 | task 3 | n_decoded =    780, tg =   5.36 t/s, tg_3s =   5.16 t/s
3.19.096.000 I slot print_timing: id  1 | task 0 | n_decoded =    780, tg =   5.36 t/s, tg_3s =   5.16 t/s
3.19.096.824 I slot print_timing: id  2 | task 1 | n_decoded =    780, tg =   5.36 t/s, tg_3s =   5.16 t/s
3.19.097.650 I slot print_timing: id  3 | task 2 | n_decoded =    780, tg =   5.36 t/s, tg_3s =   5.16 t/s
3.22.195.562 I slot print_timing: id  0 | task 3 | n_decoded =    796, tg =   5.36 t/s, tg_3s =   5.16 t/s
3.22.196.408 I slot print_timing: id  1 | task 0 | n_decoded =    796, tg =   5.36 t/s, tg_3s =   5.16 t/s
3.22.197.239 I slot print_timing: id  2 | task 1 | n_decoded =    796, tg =   5.36 t/s, tg_3s =   5.16 t/s
3.22.198.087 I slot print_timing: id  3 | task 2 | n_decoded =    796, tg =   5.36 t/s, tg_3s =   5.16 t/s
3.25.299.713 I slot print_timing: id  0 | task 3 | n_decoded =    812, tg =   5.36 t/s, tg_3s =   5.15 t/s
3.25.300.533 I slot print_timing: id  1 | task 0 | n_decoded =    812, tg =   5.36 t/s, tg_3s =   5.15 t/s
3.25.301.350 I slot print_timing: id  2 | task 1 | n_decoded =    812, tg =   5.36 t/s, tg_3s =   5.15 t/s
3.25.302.148 I slot print_timing: id  3 | task 2 | n_decoded =    812, tg =   5.36 t/s, tg_3s =   5.15 t/s
3.28.398.451 I slot print_timing: id  0 | task 3 | n_decoded =    828, tg =   5.35 t/s, tg_3s =   5.16 t/s
3.28.399.279 I slot print_timing: id  1 | task 0 | n_decoded =    828, tg =   5.35 t/s, tg_3s =   5.16 t/s
3.28.400.095 I slot print_timing: id  2 | task 1 | n_decoded =    828, tg =   5.35 t/s, tg_3s =   5.16 t/s
3.28.400.935 I slot print_timing: id  3 | task 2 | n_decoded =    828, tg =   5.35 t/s, tg_3s =   5.16 t/s
3.31.498.673 I slot print_timing: id  0 | task 3 | n_decoded =    844, tg =   5.35 t/s, tg_3s =   5.16 t/s
3.31.499.501 I slot print_timing: id  1 | task 0 | n_decoded =    844, tg =   5.35 t/s, tg_3s =   5.16 t/s
3.31.500.329 I slot print_timing: id  2 | task 1 | n_decoded =    844, tg =   5.35 t/s, tg_3s =   5.16 t/s
3.31.501.132 I slot print_timing: id  3 | task 2 | n_decoded =    844, tg =   5.35 t/s, tg_3s =   5.16 t/s
3.34.598.584 I slot print_timing: id  0 | task 3 | n_decoded =    860, tg =   5.34 t/s, tg_3s =   5.16 t/s
