ts,n,min_w,max_w,mean_w,over_cap,over_cap10,over_cap20,junction_c
1789054385,20,321.0,340.0,330.0,10,0,0,79
1789054386,20,315.0,336.0,328.9,8,0,0,79
1789054387,20,325.0,338.0,329.9,9,0,0,79
1789054388,20,316.0,336.0,329.8,12,0,0,79
1789054389,20,325.0,334.0,329.5,9,0,0,79
1789054390,20,306.0,345.0,329.2,9,1,0,79
1789054391,20,304.0,336.0,328.4,10,0,0,79
1789054392,20,313.0,359.0,331.4,10,3,1,79
1789054393,20,322.0,340.0,329.9,7,0,0,79
1789054394,20,54.0,328.0,77.9,0,0,0,49
1789054395,20,51.0,244.0,61.8,0,0,0,72
1789054396,20,270.0,368.0,331.9,12,5,5,81
1789054397,20,276.0,372.0,331.0,8,3,2,84
1789054398,20,289.0,357.0,326.4,9,3,2,85
1789054399,20,271.0,364.0,330.0,10,4,3,85
1789054400,20,242.0,361.0,325.9,11,3,2,85
1789054401,20,291.0,353.0,328.9,7,2,1,84
1789054402,20,187.0,368.0,323.5,10,3,3,86
1789054403,20,257.0,360.0,327.8,9,2,2,86
1789054404,20,160.0,369.0,330.6,13,7,5,86
1789054405,20,247.0,375.0,326.6,12,2,2,86
1789054406,20,268.0,384.0,330.9,10,5,3,86
1789054407,20,262.0,360.0,326.5,10,3,3,86
1789054408,20,288.0,357.0,327.8,7,3,1,85
1789054409,20,193.0,374.0,326.6,9,6,4,86
1789054410,20,223.0,352.0,322.6,9,1,1,86
1789054412,20,251.0,368.0,317.0,6,4,2,81
1789054413,20,307.0,353.0,329.4,9,1,1,79
1789054414,20,309.0,333.0,328.6,8,0,0,79
1789054415,20,311.0,345.0,329.8,11,1,0,79
1789054416,20,324.0,343.0,329.9,8,1,0,79
1789054417,20,54.0,396.0,272.9,9,5,3,85
1789054418,20,253.0,369.0,328.1,8,2,2,79
1789054419,20,325.0,360.0,331.8,8,2,1,80
1789054420,20,195.0,336.0,323.1,9,0,0,59
1789054421,20,76.0,365.0,318.1,11,9,7,79
1789054422,20,325.0,339.0,329.6,8,0,0,79
1789054423,20,318.0,334.0,329.0,9,0,0,79
1789054424,20,325.0,341.0,330.1,9,2,0,79
1789054425,20,323.0,335.0,329.1,8,0,0,79
1789054426,20,324.0,339.0,329.7,9,0,0,79
1789054427,20,304.0,333.0,328.4,7,0,0,79
1789054428,20,323.0,368.0,333.9,10,4,2,79
1789054429,20,54.0,338.0,126.2,4,0,0,49
1789054430,20,51.0,54.0,51.9,0,0,0,48
1789054431,20,51.0,366.0,137.4,4,4,4,81
1789054432,20,273.0,363.0,328.1,10,4,2,83
1789054433,20,290.0,353.0,326.6,8,2,1,84
1789054434,20,297.0,390.0,332.3,9,5,3,85
1789054435,20,258.0,379.0,330.9,8,4,3,83
1789054436,20,236.0,372.0,323.9,7,3,2,85
1789054437,20,288.0,355.0,327.2,8,4,1,86
1789054438,20,279.0,364.0,330.9,10,5,3,80
1789054439,20,266.0,361.0,329.8,10,4,3,85
1789054440,20,253.0,370.0,323.5,9,5,4,86
1789054441,20,225.0,364.0,328.4,13,4,1,86
1789054442,20,248.0,369.0,325.7,11,3,2,85
1789054443,20,223.0,364.0,326.9,11,4,2,86
1789054444,20,261.0,361.0,331.3,12,7,4,85
1789054445,20,247.0,366.0,330.1,10,5,3,86
1789054446,20,239.0,358.0,327.6,11,5,2,86
1789054447,20,239.0,359.0,316.7,7,4,1,79
1789054448,20,311.0,335.0,328.6,8,0,0,79
1789054449,20,53.0,360.0,276.8,10,3,1,70
1789054450,20,280.0,362.0,329.8,8,3,3,79
1789054451,20,323.0,337.0,329.9,10,0,0,79
1789054452,20,316.0,348.0,329.8,10,1,0,79
1789054454,20,324.0,336.0,329.9,9,0,0,79
1789054455,20,54.0,336.0,224.0,6,0,0,51
1789054456,20,51.0,54.0,53.0,0,0,0,48
1789054457,20,51.0,52.0,51.1,0,0,0,47
1789054458,20,51.0,362.0,202.1,6,4,3,82
1789054459,20,259.0,361.0,325.0,10,2,1,77
1789054460,20,323.0,339.0,329.6,7,0,0,77
1789054461,20,305.0,333.0,327.4,9,0,0,77
1789054462,20,320.0,338.0,329.1,9,0,0,77
1789054463,20,54.0,407.0,296.4,10,4,2,78
1789054464,20,314.0,344.0,329.3,7,1,0,78
1789054465,20,326.0,342.0,330.4,10,1,0,78
1789054466,20,54.0,335.0,252.2,7,0,0,50
1789054467,20,51.0,54.0,52.5,0,0,0,48
1789054468,20,51.0,52.0,51.1,0,0,0,46
1789054469,20,51.0,51.0,51.0,0,0,0,46
1789054470,20,51.0,52.0,51.0,0,0,0,46
1789054471,20,49.0,51.0,50.1,0,0,0,45
1789054472,20,49.0,51.0,50.0,0,0,0,45
1789054473,20,50.0,51.0,50.0,0,0,0,44
1789054474,20,49.0,50.0,49.3,0,0,0,44
1789054475,20,48.0,50.0,49.0,0,0,0,44
1789054476,20,49.0,49.0,49.0,0,0,0,43
1789054477,20,49.0,50.0,49.0,0,0,0,43
1789054478,20,48.0,103.0,56.9,0,0,0,43
1789054479,20,46.0,52.0,49.0,0,0,0,43
1789054480,20,48.0,81.0,55.6,0,0,0,43
1789054481,20,48.0,201.0,62.7,0,0,0,42
1789054482,20,48.0,308.0,80.3,0,0,0,42
1789054483,20,48.0,49.0,48.5,0,0,0,42
1789054484,20,48.0,62.0,50.0,0,0,0,42
1789054485,20,90.0,380.0,326.9,11,6,5,77
1789054486,20,322.0,347.0,330.6,10,1,0,79
1789054487,20,64.0,371.0,278.0,8,4,4,79
1789054488,20,263.0,352.0,325.5,6,2,1,80
1789054489,20,64.0,365.0,295.9,9,5,4,80
1789054490,20,257.0,369.0,327.4,10,4,3,82
1789054491,20,273.0,390.0,326.9,8,2,2,67
1789054492,20,66.0,370.0,285.4,11,7,5,82
1789054493,20,292.0,361.0,329.5,9,5,1,76
1789054494,20,62.0,417.0,247.7,5,5,2,69
1789054495,20,282.0,362.0,332.4,10,6,4,82
1789054496,20,283.0,363.0,323.5,9,3,1,82
1789054498,20,67.0,369.0,298.3,10,6,3,83
1789054499,20,249.0,342.0,326.0,10,1,0,83
1789054500,20,256.0,362.0,325.0,10,2,1,83
1789054501,20,67.0,367.0,302.6,9,5,3,79
1789054502,20,100.0,351.0,284.1,6,6,1,67
1789054503,20,157.0,355.0,315.1,10,3,2,77
1789054504,20,324.0,343.0,329.9,10,1,0,77
1789054505,20,52.0,357.0,259.7,6,2,1,77
1789054506,20,52.0,345.0,288.4,8,1,0,50
1789054507,20,50.0,53.0,51.0,0,0,0,46
1789054508,20,50.0,59.0,50.5,0,0,0,45
1789054509,20,62.0,374.0,232.9,8,4,4,80
1789054510,20,259.0,371.0,327.7,9,3,2,83
1789054511,20,317.0,365.0,334.4,12,3,3,78
1789054512,20,259.0,404.0,336.1,9,4,4,83
1789054513,20,209.0,369.0,311.4,10,5,4,83
1789054514,20,317.0,353.0,330.9,10,3,1,83
