..........................................................................................................done
...done

task	acc_norm
973	49.12641316
974	49.17864476
975	49.23076923
976	49.28278689
977	49.23234391
978	49.18200409
979	49.13176711
980	49.08163265
981	49.13353721
982	49.08350305
983	49.03357070
984	48.98373984
985	49.03553299
986	48.98580122
987	48.93617021
988	48.88663968
989	48.83720930
990	48.78787879
991	48.83955600
992	48.79032258
993	48.74118832
994	48.79275654
995	48.84422111
996	48.89558233
997	48.94684052
998	48.89779559
999	48.84884885
1000	48.90000000
1001	48.95104895
1002	48.90219561
1003	48.95314058
1004	48.90438247
1005	48.95522388
1006	48.90656064
1007	48.95729891
1008	48.90873016
1009	48.86025768
1010	48.91089109
1011	48.96142433
1012	49.01185771
1013	49.06219151
1014	49.11242604
1015	49.06403941
1016	49.11417323
1017	49.16420846
1018	49.21414538
1019	49.16584887
1020	49.21568627
1021	49.26542605
1022	49.31506849
1023	49.36461388
1024	49.31640625
1025	49.36585366
1026	49.31773879
1027	49.26971762
1028	49.31906615
1029	49.36831876
1030	49.41747573
1031	49.36954413
1032	49.32170543
1033	49.37076476
1034	49.32301741
1035	49.27536232
1036	49.22779923
1037	49.27675988
1038	49.22928709
1039	49.27815207
1040	49.23076923
1041	49.18347743
1042	49.23224568
1043	49.28092042
1044	49.32950192
1045	49.37799043
1046	49.33078394
1047	49.37917861
1048	49.42748092
1049	49.38036225
1050	49.33333333
1051	49.28639391
1052	49.33460076
1053	49.28774929
1054	49.33586338
1055	49.38388626
1056	49.43181818
1057	49.38505203
1058	49.43289225
1059	49.48064212
1060	49.52830189
1061	49.57587182
1062	49.52919021
1063	49.48259643
1064	49.53007519
1065	49.48356808
1066	49.43714822
1067	49.48453608
1068	49.53183521
1069	49.57904584
1070	49.53271028
1071	49.57983193
1072	49.53358209
1073	49.48741845
1074	49.53445065
1075	49.58139535
1076	49.53531599
1077	49.48932219
1078	49.44341373
1079	49.39759036
1080	49.44444444
1081	49.49121184
1082	49.44547135
1083	49.39981533
1084	49.44649446
1085	49.40092166
1086	49.35543278
1087	49.31002760
1088	49.35661765
1089	49.31129477
1090	49.35779817
1091	49.40421632
1092	49.45054945
1093	49.40530650
1094	49.36014625
1095	49.40639269
1096	49.36131387
1097	49.40747493
1098	49.36247723
1099	49.31756142
1100	49.36363636
1101	49.40962761
1102	49.45553539
1103	49.41069810
1104	49.36594203
1105	49.32126697
1106	49.27667269
