..........................................................................................................done
...done

task	acc_norm
1107	48.50948509
1108	48.55595668
1109	48.60234445
1110	48.55855856
1111	48.60486049
1112	48.56115108
1113	48.51752022
1114	48.47396768
1115	48.52017937
1116	48.47670251
1117	48.43330349
1118	48.47942755
1119	48.43610366
1120	48.39285714
1121	48.43889384
1122	48.39572193
1123	48.35262689
1124	48.39857651
1125	48.44444444
1126	48.49023091
1127	48.53593611
1128	48.58156028
1129	48.53852967
1130	48.49557522
1131	48.54111406
1132	48.58657244
1133	48.54368932
1134	48.58906526
1135	48.63436123
1136	48.67957746
1137	48.63676341
1138	48.59402460
1139	48.63915716
1140	48.59649123
1141	48.55390009
1142	48.59894921
1143	48.64391951
1144	48.68881119
1145	48.64628821
1146	48.60383944
1147	48.56146469
1148	48.51916376
1149	48.56396867
1150	48.60869565
1151	48.65334492
1152	48.69791667
1153	48.65568083
1154	48.61351820
1155	48.57142857
1156	48.52941176
1157	48.48746759
1158	48.53195164
1159	48.49007765
1160	48.53448276
1161	48.57881137
1162	48.62306368
1163	48.58125537
1164	48.53951890
1165	48.49785408
1166	48.54202401
1167	48.58611825
1168	48.54452055
1169	48.58853721
1170	48.63247863
1171	48.67634500
1172	48.72013652


